anna_karenina_en.txt
--------------------
350276 words, 1531808 characters, 13593 unique words, 53 unique characters
Overall: 4.4 avg word length, 4 median word length ('only'), 8 p90 word length ('external')
Unique words: 7.6 avg word length, 7 median word length ('shouted'), 11 p90 word length ('speculators')

Words by length                    Words by frequency                 Words sorted alphabetically        Character frequencies
saffron-colored 1                  other 358                          acknowledge                        
artless-looking 1                  back 356                           acknowledged                       
plague-stricken 1                  looking 353                        acknowledging                      
well-remembered 1                  even 352                           acknowledgment                     
disrespectfully 2                  oh 352                             acquaintance                       
surreptitiously 1                  everything 347                     acquaintances                      
terror-stricken 1                  feeling 347                        acquainted                         
bubble-organism 1                  always 344                         acquired                           
incommensurable 1                  here 344                           acquitted                          
well-cared-for 1                   first 340                          acre                               
arkadyevitch’s 37                  that’s 339                         acres                              
characteristic 20                  looked 336                         across                             
decanter-women 1                   am 336                             act                                
good-humoredly 15                  once 334                           acted                              
reconciliation 15                  while 330                          acting                             
alexandrovna’s 17                  smile 329                          action                             
disconsolately 1                   good 326                           actions                            
reconstruction 2                   people 324                         active                             
traditionalism 1                   asked 320                          actively                           
philimonovna’s 1                   where 318                          activity                           
unsatisfactory 4                   princess 317                       actors                             
affectionately 5                   way 316                            actress                            
alexandrovitch 524                 think 316                          actresses                          
brother-in-law 21                  herself 316                        acts                               
unquestionable 1                   should 313                         actual                             
disapprovingly 6                   new 310                            actually                           
good-naturedly 4                   day 309                            acute                              
filbert-shaped 1                   much 309                           acutely                            
cattle-breeder 1                   get 303                            adam’s                             
shtcherbatskys 41                  put 301                            adapting                           
panic-stricken 9                   sergey 301                         add                                
contemporaries 2                   two 297                            added                              
skating-ground 2                   seemed 295                         adding                             
unapproachable 1                   room 294                           addition                           
uncompromising 2                   look 293                           additions                          
conceivability 1                   husband 292                        address                            
squirrel-lined 1                   position 292                       addressed                          
station-master 5                   head 289                           addressing                         
slender-tipped 1                   tell 286                           adept                              
attractiveness 2                   ivanovitch 283                     adhered                            
self-possessed 6                   dolly 280                          adherence                          
submissiveness 1                   got 277                            adherent                           
self-deception 4                   these 273                          adhering                           
dmitrievitch’s 1                   make 263                           adjoined                           
disconnectedly 1                   understand 263                     adjutant                           
contemptuously 21                  words 262                          adjutant-general                   
self-confident 3                   can’t 261                          adjutant-generals                  
disappointment 7                   told 261                           adjutants                          
irreproachable 2                   work 260                           administration                     
considerations 11                  right 259                          administrative                     
satisfactorily 4                   being 258                          admirable                          
investigations 1                   he’s 256                           admirably                          
well-connected 1                   round 255                          admiration                         
scientifically 1                   heard 254                          admire                             
serious-minded 1                   because 253                        admired                            
transcendental 1                   answered 251                       admirer                            
shame-stricken 1                   most 246                           admiring                           
simple-hearted 7                   any 244                            admiringly                         
watering-place 7                   took 242                           admission                          
stand-shooting 4                   heart 240                          admit                              
ethnographical 2                   thing 239                          admittance                         
impoverishment 2                   conversation 236                   admitted                           
entertainments 3                   let 234                            admitting                          
interpretation 12                  brother 234                        adopt                              
superficiality 1                   every 233                          adopted                            
indefiniteness 6                   take 233                           adopting                           
simultaneously 3                   us 233                             adoration                          
prize-fighting 1                   better 231                         adored                             
disapprobation 3                   another 230                        adorers                            
confabulations 1                   children 230                       adorn                              
apprehensively 1                   want 229                           adorned                            
distinguishing 1                   left 227                           adorning                           
contradictions 1                   hands 222                          adornments                         
generalization 1                   those 222                          adroit                             
counting-house 13                  quite 221                          adroitly                           
qualifications 4                   anything 219                       adultery                           
unintelligible 2                   might 218                          advance                            
sweet-smelling 1                   shall 218                          advance-guards                     
unpleasantness 4                   home 217                           advance-money                      
transmigration 1                   whole 216                          advanced                           
transformation 2                   mother 216                         advancement                        
bright-colored 1                   both 215                           advances                           
disinclination 2                   done 214                           advancing                          
correspondence 3                   question 214                       advantage                          
unproductively 1                   through 212                        advantages                         
administrative 3                   talk 212                           adventures                         
